window,feature_idx,feature_name,MAE,Pearson
0,0,open,124.60686492919922,0.07095292955636978
0,1,high,119.95307922363281,-0.21233950555324554
0,2,low,90.34126281738281,-0.3104517459869385
1,0,open,160.37132263183594,-0.11587825417518616
1,1,high,88.72528076171875,-0.4786226451396942
1,2,low,88.46260833740234,-0.38901251554489136
2,0,open,124.97745513916016,0.3838261365890503
2,1,high,112.17970275878906,-0.03336846083402634
2,2,low,96.35855865478516,-0.006094412412494421
3,0,open,126.04490661621094,0.09413756430149078
3,1,high,124.78538513183594,-0.18297158181667328
3,2,low,74.96946716308594,-0.10694874823093414
